contact_uuid,"NPS Question: Based on your experience on your current or most recent assignment, how likely would you be to
recommend [brand] to a friend or colleague?",Comment,Com_code v2,Labels,Class_Label
t7c073020d7ad40ea84b102e385164e87,6,Communication between Adecco and employees has always been lacking and recently seems to be more disorganized.  Work tends to be over-projected resulting in less than desired hours of work.  Sometimes employers seem to forget important information such as actual work positions and screening test requirements.  This miscommunication usually results in not being able to work due to deadlines and working in a different department than expected.,Poor communication,neg,0
t38e28fceee994a278a1482b4f791ddb1,8,I just feel that is the right rating to give,Good customer service/experience,pos,1
tdc89f0287fa34bbe8a41631515459d1e,8,"Hazard did an excellent job responding to any inquiries and concerns.  However, prior to her start, I did have a question that went unanswered by the Adecco staff.  Also, the Adecco rep (Mike I believe was his name) that completed my interview/orientation did not state that overtime would be mandated.  If that is going to be the case, Adecco should be sure to inform new-hires prior to starting at Citi.  Hazard should be commended for all the effort that she puts into her role and trying to make associates feel valued.  She is a great asset for Adecco.",Good responsiveness ,pos,1
t686fa9a825c34ae7aca12acb9bdcfdce,7,"Lack of communication from the beginning, no job description or walk thru as others received.. no stand up handling of dismissal.",Poor communication,neg,0
t7f735be841b243c18b8c4d79fd989a64,7,Holiday pay policy was unclear/misleading.,Poor benefits,neg,0
t0facc5e271eb4bce9ba51de1a0d242e7,7,I was promised some sort of a hiring recommendation bonus and never received it while others seemed to receive it.,Poor communication,neg,0
tee20acbb65f64c25bf8e131ff7eeaa0c,5,Adecco needs better communication and their office isn‚Äôt always opened at 8 am several people have driven there to am empty building and adecco needs a number to call after 5,Poor communication,neg,0
te7ae9e942e69435497b341fe0b09acd3,8,I tried being as accurate as I could be,Good customer service/experience,pos,1
t715bc8e9585d45779d3aee9a008dc2e7,5,"My assignment was with Pepsi-co , and for no legitimate reason, my position was ended. I know people always say that ""it was not their fault, the employer had it out for them"", however this is the absolute truth when it comes to Pepsi-co. I performed all duties asked of me, even those that were not in my job description, quickly and without question. The only time I questioned anything is when I was asked to do something just to get the job done, but in an unsafe manner. Two days later, I was let go because, and I quote "" I was not a long term fit or a team player"". This REALLY hurt me emotionally because I was told daily by my supervisor about how good of a job I do, and I got along with all my coworkers. I have been praised by many different employers, both past and present, about how well I work with others, but also how well I work by myself with little to no supervision. Pepsi-co is the first place that has ever said such a thing about me, and it is totally untrue!",Poor job fit/experience,neg,0
t963da2972ccc4a428465e9b62295cec6,5,"My pay was screwed up, and it took weeks to get me a paycheck- unacceptable",Problems with payroll,neg,0
te14e234230b94c2ca3d6a474a23375b8,0,Because they threaded me as a criminal,Uncaring staff,neg,0
t36ea8e541fe9423bad39cb97a0388348,4,Not enough different jobs offered,Lack of good/appropriate jobs,neg,0
t2c5ebfaf442243e9b8e7d3cb8aa7e0e5,8,"For the most part it has been a good experience. I have had two major issues. One affected my pay and when I had no contact at the local office where I was hired I called a regional manager who said she would look into it but I never heard from her again. I was finally able to contact someone else, Jarid Weaver, who was absolutely wonderful and saw things through to a resolution. The second issue was I asked if there could be a pay increase as I have been here close to 2 years. I have told numerous times they are looking into it but I have no answer since I think May.",Poor pay,neg,0
tada3ed1b647f4438a67421c99c3ef8e4,0,They bad service,Poor service/experience,neg,0
t80f333bbda3b4b93a278b1f028571bf7,6,No follow up with new opportunity.,Didn’t find me a job,neg,0
tbaf4546bbdec44c98f4b6760c8b502c3,8,"I think Adecco provided me with a valuable service and enabled me to work in a position that, though it was  not the right one for me, contributed to my professional growth and development",Good customer service/experience,pos,1
t55d9633d7a994cacb45b7887fae61567,8,I had a wonderful experience working for Addeco and would like to return in future.,Good customer service/experience,pos,1
tf9fb6f1e3dcf45888b88832536b9a806,8,"Lack of communication, I have been bringing in a steady paycheck for almost a year and a half; making good money for Adecco without a single thank you for my stability and hard work, It is a tough place to work and has many challenges which I managed, My thanks is my steady paycheck.",Poor communication,neg,0
t9ecbf2794502415d9e4415f882ecd888,7,"The process of placement and the time in which it took to get placed in an assignment. And although I took the assignment, it wasn't a good fit for me. I'm best suitable for 8hr shift, then 10&12 shifts. 
I",Poor job fit/experience,neg,0
tc561f7b9a072475eb7edab196e97df0e,0,Discriminatory practices,Poor service/experience,neg,0
t87819041b3014bb0b5bc9d2dddd6ec75,7,Communication is lacking at any facility other than the GNC plant,Poor communication,neg,0
t85b25670dff045deb3d220f58ecf25ab,8,It‚Äôs been a year now and so far it‚Äôs been a good experience with Adecco I‚Äôm particular. Epiq has their own rules.,Good customer service/experience,pos,1
tec72b33f74a14eefbc2066b872307205,0,Not sure what is going on but i want to try grocery stores and others things and now money is an issue because i work 1 week and off 2 weeks and the assignment i was on had a hiring event through worksouce and hr told me couldn't hire me because the company found me and they would have to pay the company but i found out from worksource solutions and i didn't see the problem besides the slave feeling and now they hired other people before me who had already been there and wasted the time to go to worksource to apply but the assignment isn't set just a week then no word on any assignment but bills need to get paid so i became uncomfortable on this day.,Problems with payroll,neg,0
t805d8319871a4a42824f21efd444af7a,2,Truth,Poor service/experience,neg,0
t21656e72e30948e3bb8285798f8b8129,0,Just being honest!!,Poor service/experience,neg,0
te94720a951854fc1828f4df8ddb96c89,5,Adecco didn't seem to care what happened to me when they left Conduent Office.,Uncaring staff,neg,0
t0f67fbcc4e6c41df96bbd5450508fefe,3,I haven‚Äôt got any jobs lately,Lack of good/appropriate jobs,neg,0
t37b71b95b2d84dba8f7b673a0416400d,6,That how I feel,Poor service/experience,neg,0
t00bdd7f41b37452ebc2eb120e81b4b38,4,I asked to be reassigned and it has not happened.  I was told each time I contacted Adecco that someone would call me back .  not once did this happen on any instance I called or emailed.  I was told I would get a minimum of 30-35 hours per week and I received a total of less than 20 for an entire six weeks.  Most of them being from when my friend called out so I can get the hours.,Lack of Responsiveness,neg,0
teaef7e647c04473abd84f713056a53ee,3,Lack of communication,Poor communication,neg,0
t210db4df2cef4a318e33aa7d4ade34e9,2,"The person I dealt with from Adecco, Jennifer was horrible. She was not informative at all during my short time with the agency. She never had any answers to my questions and instead of inquiring to the correct answer, gave me several different answers. She never checked in to let me know what to expect or what I needed to do next. I felt she was VERY unprofessional. I was extremely unhappy with my Adecco experience and have told many people to stay away.",Rude staff,neg,0
t0116dafabf944b9fa74947af2b9c508c,0,I am still missing money i have emailed left voicemail and no reply recruiters are rude and dont want to help!,Problems with payroll,neg,0
tc0be34cda45b445da0f6b15624689ef5,8,"Waldo, Brenda, and Eunice have been extremely helpful and kind. I really enjoy working at Ralph Lauren.",Helpful/caring staff,pos,1
t3efa0a69b14547df97949ebdcb7de8d1,7,I was just placed into a job that needed help and what was required was not well explained.,Poor communication,neg,0
te7431f3619304567bdf7372a35b2dd77,0,I didn't feel like a human should have been treated on the job site. Even as the recruiter had knowledge I was let go on some BS. No I will never recommend anyone to this company and please stop all communication to me.,Poor job fit/experience,neg,0
t1aa0f5a90136451b8e92dde56e96e4de,8,The most accurate for current position.,Good customer service/experience,pos,1
tf6cafb2ab8264eeab10c92f1a542cdc3,8,Everyone treated me well and there were no problems.,Good customer service/experience,pos,1
t8ef2b42e67de49968ada61d80c22629e,0,They do not follow up on promises made  in the contract,Lack of Responsiveness,neg,0
t849b6fc248194ca9bd3b6cf8754444fe,8,"Adecco was a great company. I had no problems while working for them. through them, I was able to get a full time job with ZF",Good customer service/experience,pos,1
t91febde3ec9d49f98654f7dd7fb69c2f,4,I was a number n and a way 2 draw income / very little personal attention from staff / as a previous Ajilon employee as a staff manager I would expect more u can take a look at my staff numbers and the amount of revenue I generated  if u can find the records,Uncaring staff,neg,0
te077f9065ebc412db5c54f555d84a4a5,8,Lack in communication of Adecco leaving the building,Poor communication,neg,0
t2068f25768a247aeb6c137f6b6c7b20d,8,"I had always heard bad things about Olsten, as well as other staffing agencies.  Turns out Olsten was ok.",Good customer service/experience,pos,1
t0211ab7b76f74d87831cc397a0f802f0,0,I never received my last paycheck and I worked and the adecco people didn‚Äôt send me my money either very upset should sue,Problems with payroll,neg,0
t971372a7ed3e40a78e6e3eab89302b3d,8,Honest answers,Good customer service/experience,pos,1
t222c2d89585f42f0b904034151a359ca,8,I had good experiences with Adecco both times I used their services. The three jobs I was sent to were very good jobs with nice people.,Good customer service/experience,pos,1
td12585b219c640479ae318d4d8710dad,7,honesty,Good customer service/experience,pos,1
t433aa876849a48dfaad3cf12dd67c865,6,"First thing: Adecco does not get jobs for me. I solicit my own work and choose to use Adecco for processing my time and expense charges. I have used Adecco for my personal needs since 2010. Prior to 2010, I used Adecco, in a similar fashion, to hire engineers and construction managers",Lack of good/appropriate jobs,neg,0
t9a68ca4711d8421da4788c6f83d25a50,5,"There was a month gap between being initially contacted about the job, and then starting the actual hiring process (working with Adecco to sign the offer, which was completed in a reasonable timeframe).

The onboarding process at Google was a mess; I didn't have access to perform my job for 2 or 3 weeks.",Poor communication,neg,0
t4740a29e87e54596b91341598b31e913,8,Have not had an particular issues communicating with Adecco.,Good communication,pos,1
td8e40e58b50344e8b31d6d2a3710a366,4,Overall there was very little communication from both parties.  The assignment company would keep us in the dark and you guys wouldn't really communicate what was going on either; especially when it came to holiday pay being late and such.  Helen did an amazing job however the few times I did call or email her.  She was the able to get back to me within days or sometimes hours.,Poor communication,neg,0
t9a76c8257aac4ed38d4471408e59e6ce,4,CTDI took me on as a repair technician and then let me go because I couldn't repair 30 units per day...1 every 15 minutes.,Poor job fit/experience,neg,0
tfdbb90cd004d4fe98598e85a48c941e9,3,"No one has contacted me from Adecco to ask me if I am working (I am not), if I would like more work (yes, I would), and help me get more work.",Poor communication,neg,0
tfe8e96e70e4244929ddec64ec25af98f,0,Have given me the run around bout working at jb Morgan chase she said she call me and never did i called her and she never responded back to me.,Poor communication,neg,0
tfeef3d91d5254ddcaf5fec204e7821fd,8,For your review process to better serve your clients and employee recognition.,Good customer service/experience,pos,1
t6a7272c194ae4881b9da5c18dfce2813,8,i requested an interview and was ignored,Lack of Responsiveness,neg,0
t3f60df838a00477db23ccfa7fb644d4e,7,"I think the company is a good company to work for but i do think that  HR needs to interact  more with the employees in the work rooms,  you have a lot of young workers that are just not work material need training about being an adult  and being professional.",Poor communication,neg,0
tba2e476d8b6c4d1b9f6270aae075773c,6,Where I have been placed. I have noticed those with disabilities getting fired cuz they can't do multiple jobs or they can't do them fast enough. This is not the person fault that's their disability. I disagree with firing people with disabilities just to find you something else they can do well.,Poor job fit/experience,neg,0
t5aa7b98f77a743b68b124005b0ad8509,8,"I did have an issue where I was given a time, date and place to interview. However,when I went there, they said the Addeco person wasn‚Äôt there and that they were sick. No one had called and told me so I had drove all the way out there for nothing. I was able to reschedule though.",Poor communication,neg,0
t51fcf707d33d4e26bf7c4c1cce1d90b2,0,"Sheila Collins is a disgusting piece of trash. She is basically an overtanned, constantly drunk/coked up piece of trailer trash. She is a racist homophobe.",Rude staff,neg,0
t4ef9f255af1a4b21ada531f8c496391e,8,A very attentive and responsible good company,Good responsiveness ,pos,1
tce1340c3ecf3439c8a3669ca5cc66e64,8,"I have been working for UTC at Cheshire as a machinist/technician for almost two years. This has worked out to be a good work sight for me to be employed.  I have been able to request some sick time pay when requested in earlier part of this year.  In recent times however, I have had difficulty in requesting my paid time off.  The web site is most confusing.  I have not been able to communicate with the office at the suggested phone number (866-528-0707) because of the circular run around of the menus.  My recent experience is that the website is not user friendly either.  After calling Jake Vogul recently, he was most assuring and thought we could get the accrued time balance corrected.  But as today, 4 Oct 2019, that has not been completed.",Good match of skills and position,pos,1
t521b8acde48448e3b8491f93224a8b4a,7,Was based on my own honest opinion,Good customer service/experience,pos,1
t8c26fb5db35047e997482ed1925624d9,8,"I had some issues:  I felt I was asked to do more than I thought was required in job description and was told to talk to supervisor, something I thought would be addressed by Adecco. It was not addressed as I felt needed and nothing has changed. The work that is expected of me  deserves a higher hourly rate.",Poor job fit/experience,neg,0
t6748d47c95394852887c066a0b8aedc6,1,"Adecco treats us very badly. You are a employment agency, you work for us. But they treat us like we are of little value and easily replaced. I would never work with Adecco again.",Poor service/experience,neg,0
t89067e5a7d00404089614ba51464fd77,0,"Out of all the negative things I had to deal with working for Adecco, not receiving holiday pay because Adecco has a scam system has to be one of the worst. That was the last straw and I'll ensure I recommend a different contractor moving forward.",Problems with payroll,neg,0
t1730da858aa7456595629bd1c08e2fdb,0,"Adecco is making money from employment I found on my own and there is no clear way for me to get information about my account through the systems you use. My login no longer works, etc., etc. Horrible customer attention and service.",Poor communication,neg,0
t6719c298d3b54ac69822fde5b7b95a29,8,It was a comfortable and easy start and nice group of lads.,Good customer service/experience,pos,1
t011076df5576431591b2974884085750,7,"""Jairo"", the former Adecco representative that I received the assignment from, wasn't thorough in explaining my assignment. He wasn't helpful in the sense of communication or didn't reach out to see how my experience was while on assignment like he said he would do.",Poor communication,neg,0
t063bc33c317645d28041af63756731b7,3,I didn't really get the job.,Didn’t find me a job,neg,0
t1ef83ecda9a740d3b6cdd9af53f22827,4,The actual onboarding process by Adecco is dreadful...and that might be partly due to managers within google unfamiliar with what action to take internally to start the onboarding process.  I also question why when doing background checks for the previous 2 years - I get asked to provide the same materials I've provided previously.  Not sure if that is a legal protocol or if you just do not keep records from year to year.,Poor service/experience,neg,0
td1677b086f3e4853a8a824838afbd5ea,0,Poor customer service,Poor service/experience,neg,0
tf12be6015b9845b980822a869b0938c7,6,Wasn‚Äôt a bad experience. But it wasn‚Äôt the best either,Poor job fit/experience,neg,0
t52f211a5e2e6458589c2cacb5e35550e,8,everything was very professional and helpful there,Professional staff,pos,1
tf9911ca48b8d4736841abe20fe975d80,0,I was wrongful termination and not one person from your office called me back this was a terrible situation,Uncaring staff,neg,0
ta47a2cca873c41c6849b82ff4678668f,0,"i have been ignored throughout my process with trying to get paid out for the sick hours i have.  the phone numbers listed on line AND on their emails are ""non working Adecco extensions"" according to the message i get when i call.  ive been trying to get my sick hours paid out since AUGUST.  very ridiculous and unprofessional on Adecco's part.",Problems with payroll,neg,0
t1999005696e640a695fd687308ec75cb,0,Interaction poorly no communication no responses to emails voice messages,Poor communication,neg,0
t4b7ed6a9b2af414da3bf3cc95c777a06,0,They are unfair,Poor service/experience,neg,0
tffa2510b79114354b52bfa5d3d72baeb,0,Bad attitudes with management,Poor job fit/experience,neg,0
t48e8ffad4c7745d19a438b5dfecd47e1,8,"Only worked at QPI so far, they were less than professional in that they cancelled temp assignments with out notifying myself or my Adecco recruiter, but my experience with Adecco itself has been great.",Poor job fit/experience,neg,0
t3a4626f42cda4c6dbb6d02af2e7334bf,0,No help,Uncaring staff,neg,0
td095f7b7ea0345a19ae023ebfedd1218,0,"Lies and more lies 
No path to full time at ctdi 
Took months to get benefits 
Then laid off 
But still being contacted to work at ctdi",Lack of integrity,neg,0
t85c3f53862a441f59343aad5d6a9cade,7,"In the beginning, there were a few bumps in which my start date was delayed and then when I switched direct deposit account, there wasn't communication.  I had to keep inquiring about what happened and certain information should have been disclosed prior to me submitting the change just to make sure when I wanted the change to take place.",Poor communication,neg,0
tb377ff89f25c42e781818e0f38de3517,7,"My hours were cut from 40 to 20. I asked for a full-time reassignment, but haven't received one.",Lack of Responsiveness,neg,0
tb75600553f6c46968e75ac32d11b5d89,0,"i have yet to get a job based on my qualifications ....i have been put on cleaning, janitorial, warehouse but no jobs in my certifications of I.T. computer repair and networking. 

to add insult to injury in my recent job placement i was accused of wrongful things and i couldnt defend myself all i was told was to do my job.",Didn’t find me a job,neg,0
tabc85b2541cf4157a4397d588469bae0,8,They‚Äôve given me an opportunity to be employed locally.Rick has been very helpful thanks again,Helpful/caring staff,pos,1
tf91d87c34f95470a898db197fd79c62a,8,"Overall,  I've been very happy with the range of benefits offered via Adeccco.

I'd love to renegotiate my billable rate, as I do feel slightly under market.",Appropriate pay ,pos,1
t54afe5f68941458c8aa22dc4f1e4aeb3,7,They called me and said the employer doesnt want. You to come back... That was the last ph call..,Lack of Responsiveness,neg,0
tcecdbd8bdfd346068c22c1d61bd3707b,0,You dont provide us with the right stuff that we need you dont pay us on time its nothing but a hassel to get paid,Problems with payroll,neg,0
tf994ac729c844cc1a07f9f43b9f7e280,7,I felt that many of my qualities at Pepsi Bottling group went totally overlooked which led them to consider other candidates within their hiring process.  I don't agree that I was given any real opportunity to be given a chance to obtain a short term or long term employment opportunity and therefore I'd rather not rush back to perform any other assignments from that company at all.,Didn’t find me a job,neg,0
td09196a686514489a0005da14ade9c8a,8,Its how i feel?,Good customer service/experience,pos,1
t961cd1146f084e23ab0a59e1705c1446,5,"Been at same assignment for 4 years. No perm job offer. No increase in rate.  No comp time in form of sick, vacation hours.  Have not been a positive rep for progressing",Poor pay,neg,0
tea15018f1364419eb746ed1db29a35f7,7,Reliable job,Found me a job,pos,1
t5e40175d68d844308884e09f399c1106,5,I want to find a permanent position with a business providing health care benefits.,Poor benefits,neg,0
t69ba0b991955474aa25e05d4a0a13a49,7,So far every issue I had to solve with Adecco was done in an efficient way,Good responsiveness ,pos,1
t96d73242422045fba9c4648ee78e3da2,0,"Was not given the correct information about not being able to work due to being a felon. I started the job and 2 weeks later was told I could no longer work there because of this. I told them I was before starting the job and also disclosed my criminal record in the online paperwork. I have 6 kids and due to the company letting me go I was unable to pay rent and we had to live in a tent for about a month. Horrible service, and the way I was let go was absolutely horrific. I will always tell people to not go through your company because of the hardships your company directly caused to my small children.",Poor communication,neg,0
td1195edaa6c4459fbb9533f5ae13f878,0,Ended my assignment two months before I was told it would end.  Ended my assignment abruptly and with no prior warning.  That kind of unprofessionalism is not acceptable.  It put me under an economic hardship for that month.,Poor communication,neg,0
t24ad5ab233d8481c869ca3f20ff6a121,8,Good experience,Good customer service/experience,pos,1
t11b1547ddc0842c88c65dc713b8f52a7,8,I liked the job for the time being.,Found me a job,pos,1
t66f8ae9809e842d18d69f289d5b81d45,3,Sometimes you can't see a rep first thing in the morning,Lack of Responsiveness,neg,0
tf7f70eac35e641be9219285f16587dea,4,Didn't receive a phone call e mail nothing about last job applied for just got an e mail saying I can't work necouze my credit which I don't understand,Lack of Responsiveness,neg,0
t70e250ab4ced4ea5932a0dac48430f44,2,Little or no communication. Never able to set up a pre-tax withdraw/retirement account.,Poor communication,neg,0
t61f57aee45f44f00b42b699a53807e39,0,When I first went in there the lady was very rude and judgmental but her manager did come out and redirect her into his office so that issue was squashed but later on that same lady called me and said I have to quit my job working at fashionova. While I worked with fashionava I drove 45 minutes and spent 40$ on gas just for them to send me home because they didn‚Äôt need me. They could have just called a head,Rude staff,neg,0
t59379f41781740c3b82fbd3d6898e3e7,7,Adecco let employer refuse to pay worker for work performed,Problems with payroll,neg,0
t6edce4bbfcd446188b2ba90cccb2e47a,6,The job description was not clearly outlined at the time I started.,Poor communication,neg,0
t3011c2b27f054434aed00ee252f9ce2f,8,Is good,Good customer service/experience,pos,1
t3953a0cf89b4413cacb97f9cd313a7fe,8,Pay is not high enough and there weren't many jobs available.,Poor pay,neg,0
t1f04d04381964b9281bd09038e9d853f,0,"The environment was absolutely toxic, and they didn‚Äôt care about the employees at all.",Poor job fit/experience,neg,0
tf290c827f90b463e882733bc3eb8b501,7,"The onboarding process is very lengthy and took a surprisingly long time.  Also, getting access to tools that I needed to do my day to day job took a long time.",Poor service/experience,neg,0
t43a337cc30d340d28888cd866da86db9,8,I had a good experience with the team,Good customer service/experience,pos,1
t0eff07ecd2584c23a0544edf708fa18b,1,I was not oriented about my end date.,Poor communication,neg,0
t5a036b81fbbb4ae59ac66dea6b525da4,8,"The on-boarding process was lengthy and confusing at times, but the Adecco representatives, helped me complete it.",Poor service/experience,neg,0
t7f0386ba117c4c7ea04540c20fe65d5b,8,Okay assignment but seems it was a little favoritism,Good jobs available,pos,1
td9287a0a02f545e7ad3c9234c74fe292,2,Once I was at place I had NO contact from recruiter. I had issues with being paid and it had to go pretty far up the ladder to get any help.,Lack of Responsiveness,neg,0
t44e166c0312e4c5f9c58b796791a523c,8,"I never got to told if the job was ending, I had to call to find out. I had the job for 11 months. During the 11 months I thought after 6 the assignment was to end, more febut it did not. I was happy about that.",Poor communication,neg,0
t820a2539c60c4270bf5d0f71baa07ac1,4,Management is lacking!,Poor service/experience,neg,0
t3c70d43743f149eb963503a7ae0c1efd,8,"The only thing that needs to improve is the communication on the scheduling and hours the employee has to work. I was not told that the job needed evening hours. I thought the assignment was for the day. Otherwise, I like my current position and enjoy going to work. I like the people and the atmosphere.",Poor communication,neg,0
t06933f20f999403693fd79dec989a709,8,I have worked with Amanda Harkness with JP Morgan placement and I have been very happy with how responsive and professional she has been.,Good responsiveness ,pos,1
t32c91296d0f140e8a0ac123d6aaf115b,8,There were some issues that have not been resolved,Lack of Responsiveness,neg,0
te041dd212fe34f9996f1fa8dbc27b869,5,Its not great but its not bad,Poor service/experience,neg,0
tf239074a5a3142b3b763ce13ce9e0cc5,3,Better service,Poor service/experience,neg,0
t09dc69d756f54a82a2a693f4f5ccc7de,0,No help from the recuiter at all,Uncaring staff,neg,0
t9556327bcf0644d8a374b22c93113baa,8,I have used ADECCO since November. They‚Äôve done a great job in assisting me with positions that were a match.,Good customer service/experience,pos,1
tce5118def07e4e0384b593051d95d27c,4,"Lorraine was very unprofessional , I had a VERY hard time with being able to communicate them. I did not get paid on time for over a month. Me and my family suffered with finances , bills food, and other things due to addecco in professionalism. I loved the job I was placed at which was naked juice , but I eventually had to stop working there because I was not get paid on time. Staff at naked juice was very supportive on behalf of me and my concerns of pay and also experienced a lot of problems because there temps were not getting paid.",Rude staff,neg,0
t0ae3fe4ad92e4dcba18e9fe803647587,6,"Always seeks to be a problem with correct billing between your accounting department and the client I work for (MSA).

New problems now between your billing and state of Pennsylvania. Working for Adecco is turning into a nightmare for me.",Problems with payroll,neg,0
t42f58dbd9a0a4d7cb32c7bdcfb0c1d0c,0,"I was harassed, abused, and treated extremely poorly by the company Adecco contracted me to, and there was no help. I was mistreated for a week and then terminated when I completed enough work.",Poor job fit/experience,neg,0
t67b406452c4c4e62a562fc91ead763ab,0,Management is very unprofessional and lacks experience.,Rude staff,neg,0
tea896cf7f4d24a9baa66973541c70822,1,Lack of communication & no pay for a job well done. I have represented Adecco in Extraordinary manner in which I have Never received any recognition monetarily or verbally.,Poor communication,neg,0
td838461b0a954fe386caf58b7b851f84,7,Not pleased with Holiday pay policy in my situation.,Poor benefits,neg,0
tc976e2e192b44d01af7eb9b0b31d2b38,8,"I think Adecco has been really good w/ me thus far. The only issue is they should provide PTO just a few hours so we can actually get paid if we need some time off to go do personal things. Its nice to take a break here and there so we can refresh ourselves. and w/o any PTO we must take risks taking a few days off but w/o pay and that can be hard at times. Nancy, my recruiter always response to my email in a timely manner which is greatly appreciated. She has been great to work w/.",Poor benefits,neg,0
te8e67c96a5ab43b98fae4f20644bfd83,7,"All in all, Good. But can be much better.",Good customer service/experience,pos,1
td27c6c91f3764555977e43a31fff457c,1,"Overall, it has taken a long time to get anything resolved through Adecco. When I was brought on there was a lot unanswered questions and no one seemed to have the details about the position I was brought on for.",Lack of Responsiveness,neg,0
t39ae2685e26e42b7811971c68749b71b,6,"My experience with Adecco was very transactional, and I wasn't always informed when there were changes in who I should reach out to regarding specific issues/questions. I wouldn't recommend against Adecco, but in my experience there was no reason to work with Adecco other than the fact that my company uses them for contract workers.",Poor communication,neg,0
t5977f2c56ff742b9b9247225eb37429e,4,"I was twice offered a position with CTDI thru Adecco since this past April.  When I tried to follow up, nobody from Adecco returned my calls or emails.  One of the phone numbers I was given had been disconnected.  Until then I was happy working thru Adecco, as they got me a position first with CTDI in April of 2017, then later with FritoLay in 2018 and 2019 for seasonal work.  This position fell apart when my pay went from $16 an hour to $13 without any explanation.",Lack of Responsiveness,neg,0
